Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
301,56.1569,49429.5,0.492684,4.12251e-06,9.999839999999999,-3.180093815e+19,15899999997952.0,3.872146680203248e+17,3240000367498.1714,7.859290498987684e+17,2.1459128020166185e+19,230300206092430.28,4.3860024045490864e+19,620129999998976.0
316,60.9859,26912.3,0.488545,2.34323e-06,9.999839999999999,-3.180069963e+19,15909999996928.0,2.0918260535129472e+17,1003311785684.6644,4.281746929173254e+17,2.5814155064791953e+19,259295947267775.9,5.2727849034516914e+19,858649999998976.0
331,70.8354,9645.97,0.47216499999999995,8.15467e-07,9.999839999999999,-3.180046112e+19,15900000002048.0,7.241638186762258e+16,125068926482.1505,1.5337092301975494e+17,2.778332245806092e+19,265844877436366.0,5.680323711054445e+19,1097160000000000.0
346,95.146,1394.26,0.363912,1.00177e-07,9.999839999999999,-3.180022261e+19,15900000002048.0,8067468328447131.0,2220797266.20405,2.2168734002855444e+16,2.825088200339994e+19,266325051258756.0,5.784983469674685e+19,1335670000001024.0
361,82.163,3955.96,0.440223,3.13332e-07,9.999839999999999,-3.17999841e+19,15900000002048.0,2.76899228109386e+16,19708508856.186558,6.289976400810181e+16,2.8424600815805506e+19,266403233916317.06,5.829106394035448e+19,1574180000002048.0
376,63.2433,16772.6,0.48618900000000004,1.66657e-06,9.999839999999999,-3.179774209e+19,159010000003072.0,1.296671472363865e+18,4444760732343.69,2.667011126051525e+18,3.951278717501744e+19,291791176120419.25,8.155832410396346e+19,3816190000001024.0
391,52.9444,37050.4,0.495367,4.94772e-06,9.999839999999999,-3.179535697e+19,159010000003072.0,2.91839726950255e+18,29148918959606.023,5.891384104113819e+18,7.139337824576141e+19,512640200120678.7,1.4627519973499571e+20,6201310000001024.0
406,46.1264,60369.1,0.49804,1.1493e-05,9.999839999999999,-3.179297186e+19,159000000004096.0,4.780530023799151e+18,110317708544541.89,9.598686900247271e+18,1.3001961599676904e+20,1500136670814576.2,2.642042770580878e+20,8586420000002048.0
421,41.8112,81645.4,0.49899399999999994,2.2253400000000003e-05,9.999839999999999,-3.179058674e+19,159010000003072.0,6.47815719746083e+18,288903320236265.06,1.2982435054250813e+19,2.1576231425921132e+20,4449620862451621.0,4.361556457121281e+20,1.0971540000002048e+16
436,37.3074,96241.4,0.499404,3.59924e-05,9.999839999999999,-3.178820162e+19,159010000003072.0,7.642551713519307e+18,550804115092534.8,1.5303345014295652e+19,3.231030783454323e+20,1.0824086944168712e+16,6.511618654121504e+20,1.3356660000002048e+16
451,30.5058,100975.0,0.499612,4.60155e-05,9.999839999999999,-3.178581651e+19,159000000000000.0,8.0212831503e+18,738780002887500.0,1.6055025e+19,4.418438447503262e+20,2.0865063141940064e+16,8.888692421618472e+20,1.5741769999998976e+16
466,10.0426,94815.3,0.49999099999999996,4.23266e-06,9.999839999999999,-3.176339641e+19,1590070000001024.0,7.53801251688719e+19,638128367505169.9,1.507629640710971e+20,1.5450523139811044e+21,4.66228130683835e+16,3.0955669765990436e+21,3.816187000000102e+16
481,10.0,79104.2,0.49999099999999996,2.58741e-06,9.999839999999999,-3.173954524e+19,1590080000000000.0,6.2889871129942974e+19,325449621013829.75,1.25782006336e+20,2.5839158480662367e+21,5.39628013078167e+16,5.173328618410954e+21,6.201304e+16
496,10.0,57266.7,0.499987,7.71967e-07,9.999839999999999,-3.171569407e+19,1590080000000000.0,4.552813340575363e+19,70294260772458.914,9.1058634336e+19,3.3922306145894274e+21,5.6452200287478184e+16,6.789992289266884e+21,8.586420999999898e+16
511,10.0,34063.1,0.499978,2.87093e-07,9.999839999999999,-3.16918429e+19,1590080000000000.0,2.7080335436810945e+19,15549833675802.463,5.4163054048e+19,3.926370500699782e+21,5.6946088356036456e+16,7.858307659805021e+21,1.0971538000000205e+17
526,10.0,14551.6,0.499949,3.65335e-07,9.999839999999999,-3.166799173e+19,1590080000000000.0,1.1567924015385473e+19,8453197266442.88,2.3138208128e+19,4.2024775705086793e+21,5.710213685834148e+16,8.41055763919297e+21,1.3356655000000102e+17
541,10.0,2985.32,0.49975600000000003,1.68766e-05,9.999839999999999,-3.164414056e+19,1590080000000000.0,2.3722905697793536e+18,80111492468200.97,4.7468976256e+18,4.2929418845311394e+21,5.7397447421642376e+16,8.591520355705946e+21,1.5741772e+17
556,10.0,1885.64,0.49949099999999996,4.66269e-05,9.999839999999999,-3.141993958e+19,1.5900779999997952e+16,1.4976311977877277e+19,1398021187491438.5,2.998314679919614e+19,4.4509399249511776e+21,7.790491778990597e+16,8.908624237741342e+21,3.8161869999999795e+17
571,10.6211,11492.2,0.499935,3.9264800000000004e-08,9.999839999999999,-3.118142789e+19,1.5900780000002048e+16,9.135559418665723e+19,7175051025873.883,1.8273494391602355e+20,5.187082082504923e+21,8.145617028453446e+16,1.0381255188627461e+22,6.20130390000001e+17
586,10.6899,29711.0,0.499972,5.65662e-09,9.999839999999999,-3.09429162e+19,1.5900779999997952e+16,2.3620080930388135e+20,2672346095230.3755,4.7242807457993916e+20,7.647874864924629e+21,8.150999465097386e+16,1.530321902227745e+22,8.5864208e+17
601,10.7471,52570.5,0.499982,2.87006e-09,9.999839999999999,-3.070440452e+19,1.5900769999998976e+16,4.1794066823674593e+20,2399115956733.5527,8.359114292849461e+20,1.262265469172252e+22,8.154757806813806e+16,2.5253210744841453e+22,1.09715376e+18
616,11.2393,75087.7,0.499986,1.9321300000000004e-09,9.999839999999999,-3.046589283e+19,1.5900779999997952e+16,5.969597838609454e+20,2306872406809.888,1.193952998405846e+21,2.0352746663684004e+22,8.15827779473475e+16,4.071387554131539e+22,1.335665449999999e+18
631,11.4941,92354.0,0.499988,1.5267999999999997e-09,9.999839999999999,-3.022738114e+19,1.5900780000002048e+16,7.342326960524611e+20,2242106771228.304,1.4685006361201892e+21,3.0478847000002324e+22,8.161679935131514e+16,6.096660436043965e+22,1.574177140000002e+18
646,12.6689,100606.0,0.499989,1.429e-09,9.999839999999999,-2.798537128e+19,1.5900779000000102e+17,7.998392891855124e+21,22859909802937.605,1.5997137720740103e+22,1.4021408435586283e+23,8.193604707543504e+16,2.8044231449492852e+23,3.816187e+18
661,13.0647,98044.0,0.499988,1.48039e-09,9.999839999999999,-2.560025441e+19,1.5900779000000102e+17,7.794692804262897e+21,23078924455192.426,1.55897597627601e+22,2.596460492099035e+23,8.228014752999134e+16,5.1931153050528156e+23,6.201303870000001e+18
676,13.5751,85227.4,0.499988,1.75172e-09,9.999839999999999,-2.321513754e+19,1.5900779000000102e+17,6.775747638876786e+21,23738995043827.54,1.3551820521446085e+22,3.693279452773872e+23,8.263065225796235e+16,7.386805874976166e+23,8.586420740000002e+18
691,14.5044,64949.6,0.499986,2.4348400000000002e-09,9.999839999999999,-2.083002067e+19,1.5900779000000102e+17,5.16360159379903e+21,25145791491453.023,1.0327492357384066e+22,4.586081445092831e+23,8.299646590980131e+16,9.172457329084252e+23,1.097153761e+19
706,16.2487,41630.9,0.49998100000000006,4.21328e-09,9.999839999999999,-1.84449038e+19,1.5900779000000102e+17,3.3096929292448327e+21,27890385884520.94,6.619637404711043e+21,5.212823210274964e+23,8.33914313238404e+16,1.0425982054258816e+24,1.335665448e+19
721,16.8962,20354.6,0.499967,1.0023e-08,9.999839999999999,-1.605978693e+19,1.5900779000000102e+17,1.6181631753482532e+21,32439840042473.89,3.2365399623340204e+21,5.569459676073546e+23,8.384274728857627e+16,1.1139289257088916e+24,1.574177135e+19
736,14.9462,5758.65,0.49988999999999995,6.37978e-08,9.999839999999999,6.360311655e+18,1.590077914000001e+18,4.577343852488312e+21,584177454304504.8,9.156702179456106e+21,6.846242015264931e+23,8.956801275123091e+16,1.369314106189815e+24,3.8161869934999994e+19
751,10.7148,1024.67,0.49615299999999996,8.345520000000001e-05,9.999839999999999,1.733184926e+19,1.5900778999999898e+17,8.08384624092957e+19,1.3597398480025832e+16,1.6293051217929896e+20,7.035601851505263e+23,2.7320079079183e+17,1.407205176312918e+24,4.913340753999998e+19
766,14.9462,7184.67,0.499911,4.1009e-08,9.999839999999999,1.971696613e+19,1.5900779000000102e+17,5.7110757404328015e+20,46849440208238.81,1.1424184985793074e+21,7.076438520865134e+23,3.550127923104377e+17,1.4153775296184808e+24,5.151852440999995e+19
