min,max,median,Skip
-0.2784492,-0.022617526,-0.17500441,False
-0.27716997,-0.012738384,-0.16447206,False
-0.27787307,-0.024448888,-0.16101177,False
-0.2586158,5.3696494,2.6566522,False
-0.2145234,4.5395265,2.307241,False
-0.27846438,-0.040600616,-0.13216452,False
-0.27555528,-0.03681509,-0.16045177,False
-0.25479326,2.824536,1.2651893,False
