H
H+
H2
H2+
H3+
HE
HE+
C+
C
CH
CH+
CH2
CH2+
CH3+
CH3
CH4+
O+
CH4
O
CH5+
OH+
OH
H2O+
H2O
H3O+
MG
MG+
CO+
CO
HCO+
O2
O2+
E-
