,count,mean,std,min,25%,50%,75%,max
gas_temp,6755238.0,2.2810085569946104,0.8061209913868765,0.9084850188786497,1.680154141734373,2.1101518285182714,2.88989529943033,4.056665542490408
dust_temp,6755238.0,1.2741471709216154,0.2647627255236239,1.0,1.0,1.2139159893736227,1.4820155764507117,1.8747716371842982
Chem_1,6755238.0,-0.17219455540180206,0.030265916138887405,-0.2784546911716461,-0.19715188071131706,-0.17138241231441498,-0.14945697784423828,-0.02520550787448883
Chem_2,6755238.0,-0.1560608595609665,0.0517510361969471,-0.27837932109832764,-0.19783154129981995,-0.15211771428585052,-0.1208433210849762,-0.012738312594592571
Chem_3,6755238.0,-0.17821013927459717,0.03635640814900398,-0.2784639894962311,-0.20567120239138603,-0.17685937136411667,-0.14966705441474915,-0.024448830634355545
Chem_4,6755238.0,2.078648567199707,1.2827634811401367,-0.27702996134757996,0.9894590973854065,1.8731590509414673,3.120414912700653,5.322480201721191
Chem_5,6755238.0,2.5978901386260986,0.9554281830787659,-0.17078736424446106,2.0328097343444824,2.746912956237793,3.403022348880768,4.64164924621582
Chem_6,6755238.0,-0.14848648011684418,0.041148990392684937,-0.27846455574035645,-0.18204472959041595,-0.1486087068915367,-0.12066663801670074,-0.044414449483156204
Chem_7,6755238.0,-0.1635984182357788,0.0324198417365551,-0.27679264545440674,-0.18921437859535217,-0.16457369923591614,-0.1409873403608799,-0.03584659472107887
Chem_8,6755238.0,1.1771243810653687,0.3822450637817383,-0.2615760862827301,0.9320846050977707,1.1867809295654297,1.4466147422790527,2.8372395038604736
